2025-06-14 00:12:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-14 00:12:53 [main] INFO  tn.esprit.films.FilmsApplication - Starting FilmsApplication using Java 17.0.11 with PID 196 (/app/target/classes started by root in /app)
2025-06-14 00:12:53 [main] INFO  tn.esprit.films.FilmsApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-14 00:12:53 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://config-server:8888
2025-06-14 00:12:53 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=films, profiles=[default], label=null, version=aba34525f6b0fce4012ae66c4883d1af9eb206b0, state=
2025-06-14 00:12:53 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://config-server:8888
2025-06-14 00:12:53 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=films, profiles=[default], label=null, version=aba34525f6b0fce4012ae66c4883d1af9eb206b0, state=
2025-06-14 00:12:53 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-06-14 00:12:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 131 ms. Found 1 MongoDB repository interface.
2025-06-14 00:12:54 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=44d980ed-469c-3cca-a465-674c9fac323d
2025-06-14 00:12:54 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2025-06-14 00:12:54 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-06-14 00:12:54 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2025-06-14 00:12:54 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2025-06-14 00:12:54 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-14 00:12:54 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-06-14 00:12:54 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-14 00:12:54 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1480 ms
